Dota 2	"Dota 2 is a multiplayer online battle arena (MOBA) video game developed and published by Valve Corporation. The game is a sequel to Defense of the Ancients (DotA), which was a community-created mod for Blizzard Entertainment's Warcraft III: Reign of Chaos and its expansion pack, The Frozen Throne. Dota 2 is played in matches between two teams of five players, with each team occupying and defending their own separate base on the map. Each of the ten players independently controls a powerful character, known as a ""hero"", who all have unique abilities and differing styles of play. During a match, players collect experience points and items for their heroes to successfully defeat the opposing team's heroes in player versus player combat. A team wins by being the first to destroy a large structure located in the opposing team's base, called the ""Ancient""."
Counter-Strike Global Offensive	"Counter-Strike: Global Offensive (CS:GO) is a multiplayer first-person shooter video game developed by Hidden Path Entertainment and Valve Corporation. It is the fourth game in the Counter-Strike series and was released for Microsoft Windows, OS X, Xbox 360, and PlayStation 3 in August 2012, with the Linux version released in September 2014. The game pits two teams against each other: the Terrorists and the Counter-Terrorists. Both sides are tasked with eliminating the other while also completing separate objectives, the Terrorists, depending on the game mode, must either plant the bomb or defend the hostages, while the Counter-Terrorists must either prevent the bomb from being planted, defuse the bomb, or rescue the hostages. There are eight game modes, all of which have distinct characteristics specific to that mode."
Team Fortress 2	"Team Fortress 2 (TF2) is a team-based multiplayer first-person shooter video game developed and published by Valve Corporation. It is the sequel to the 1996 mod Team Fortress for Quake and its 1999 remake, Team Fortress Classic. It was released as part of the video game bundle The Orange Box in October 2007 for Microsoft Windows and the Xbox 360.[1] A PlayStation 3 version followed in December 2007.[2] The game was released for Windows as a standalone entry in April 2008 and was updated to support OS X in June 2010 and Linux in February 2013. It is distributed online through Valve's digital retailer Steam, with retail distribution being handled by Electronic Arts. In Team Fortress 2, players join one of two teams comprising nine character classes, battling in a variety of game modes including capture the flag and king of the hill. The development is led by John Cook and Robin Walker, creators of the original Team Fortress. Announced in 1998, the game once had more realistic, militaristic visuals and gameplay, but this changed over the protracted nine-year development. After Valve released no information for six years, Team Fortress 2 regularly featured in Wired News' annual vaporware list among other ignominies.[3] The finished Team Fortress 2 has cartoon-like visuals influenced by the art of J. C. Leyendecker, Dean Cornwell, and Norman Rockwell,[4] and uses Valve's Source game engine."
Counter-Strike	"Counter-Strike (also known as Half-Life: Counter-Strike) is a first-person shooter video game developed by Valve Corporation. It was initially developed and released as a Half-Life modification by Minh ""Gooseman"" Le and Jess Cliffe in 1999, before Le and Cliffe were hired and the game's intellectual property acquired. Counter-Strike was released by Valve on the Microsoft Windows platform in 2000. The game spawned a franchise, and is the first installment in the Counter-Strike series. Several remakes and ports of Counter-Strike have been released on the Xbox console, as well as OS X and Linux. It is commonly referred to as Counter-Strike 1.6 to distinguish it from other titles of the series, 1.6 being the final major software update the game received. Set in various locations around the globe, players assume the roles of members of combating teams of the governmental counter-terrorist forces and various terrorist militants opposing them. During each round of gameplay, the two teams are tasked with defeating the other by the means of either achieving the map's objectives, or else eliminating all of the enemy combatants. Each player may customize their arsenal of weapons and accessories at the beginning of every match, with currency being earned after the end of each round."
Sid Meier's Civilization V	"Sid Meier's Civilization V is a 4X video game in the Civilization series developed by Firaxis Games. The game was released on Microsoft Windows in September 2010,[3] on OS X on November 23, 2010, and on Linux on June 10, 2014. In Civilization V, the player leads a civilization from prehistoric times into the future on a procedurally generated map, attempting to achieve one of a number of different victory conditions through research, exploration, diplomacy, expansion, economic development, government and military conquest. The game is based on an entirely new game engine with hexagonal tiles instead of the square tiles of earlier games in the series.[5] Many elements from Civilization IV and its expansion packs have been removed or changed, such as religion and espionage (although these were reintroduced in its subsequent expansions). The combat system has been overhauled, by removing stacking of military units and enabling cities to defend themselves by firing directly on nearby enemies.[6] In addition, the maps contain computer-controlled city-states and non-player characters that are available for trade, diplomacy and conquest. A civilization's borders also expand one tile at a time, favoring more productive tiles,[7] and roads now have a maintenance cost, making them much less common.[8] The game features community, modding, and multiplayer elements.[5] It is available for download on Steam."
Counter-Strike Source	"Counter-Strike: Source is a remake of Counter-Strike using the Source game engine. As in the original, Counter-Strike: Source pits a team of counter-terrorists against a team of terrorists in a series of rounds. Each round is won either by completing an objective (such as detonating a bomb or rescuing hostages) or by eliminating all members of the enemy team. Counter-Strike: Source retains its team-based objective-orientated first-person shooter style gameplay. The aim of playing a map is to accomplish a map's objective: defusing the bomb, rescuing all hostages, or killing the entire opposing team. The ultimate goal of the game is to win more rounds than the opposing team. Once players are killed, they do not respawn until the next round, though this depends on which server people play on. This gameplay feature distinguishes Counter-Strike from other first-person shooter games, where players respawn instantly or after a short delay. Shooting while moving dramatically decreases accuracy, and holding the trigger down to continuously shoot produces severe recoil. The severity of damage induced by weaponry is dependent upon the specific locations of hits, with hits to the head being most lethal and shots which make contact elsewhere causing lesser loss of health. Damage is also affected by the distance, and if the target wears protection."
The Elder Scrolls V Skyrim	"The Elder Scrolls V: Skyrim is an action role-playing video game developed by Bethesda Game Studios and published by Bethesda Softworks. It is the fifth main installment in The Elder Scrolls series, following The Elder Scrolls IV: Oblivion, and was originally released worldwide for Microsoft Windows, PlayStation 3, and Xbox 360 on November 11, 2011. The game's main story revolves around the player character's quest to defeat Alduin the World-Eater, a dragon who is prophesied to destroy the world. The game is set 200 years after the events of Oblivion and takes place in the fictional province of Skyrim. Over the course of the game, the player completes quests and develops the character by improving skills. The game continues the open-world tradition of its predecessors by allowing the player to travel anywhere in the game world at any time, and to ignore or postpone the main storyline indefinitely."
Garry's Mod	"Garry's Mod (commonly abbreviated as GMod) is a sandbox physics game developed by Facepunch Studios and published by Valve Corporation. Garry's Mod was originally a mod created by Garry Newman for Valve Corporation's Half-Life 2 but was later made into a standalone release in 2006 for Microsoft Windows.[1] Later updates saw an OS X port, added in 2010, and a version for Linux in 2013. The base game mode ""sandbox"" has no set objectives, and gives the player the freedom to spawn non-player characters (NPCs), ragdolls or objects (called props), such as furniture, shipping containers, dumpsters and explosions, and interact with them in various ways."
Call of Duty Modern Warfare 2 - Multiplayer	"Call of Duty: Modern Warfare 2 is a first-person shooter video game developed by Infinity Ward and published by Activision. It was released worldwide on November 10, 2009 for Microsoft Windows, the PlayStation 3, and Xbox 360.[2] A version for OS X was developed by Aspyr and released on May 20, 2014. The Xbox 360 version was made backward compatible for the Xbox One in 2018. It is the sixth installment of the Call of Duty series[3]and the direct sequel to Call of Duty 4: Modern Warfare, continuing the same storyline.[4][5] It was released in conjunction with two other Call of Duty games: Call of Duty: Modern Warfare: Mobilized for the Nintendo DS,[6] and Call of Duty: Modern Warfare: Reflex, a port of Call of Duty 4 adapted by Treyarch for the Wii console.[7] The game's campaign follows the Task Force 141, a special forces unit fronted by Captain Soap MacTavish, as they hunt Vladimir Makarov, leader of the Russian Ultranationalist party, and the United States Army Rangers, who are defending the country from a Russian invasion. The game's main playable characters are Sergeant Gary ""Roach"" Sanderson, of the 141, and Private James Ramirez, of the Army Rangers, with Captain MacTavish becoming playable later in the campaign. An expansive multiplayer mode is featured in the game, with several new features and modes that were not seen in its predecessor."
Left 4 Dead 2	"Left 4 Dead 2 is a cooperative first-person shooter video game developed and published by Valve Corporation. The sequel to Turtle Rock Studios's Left 4 Dead, the game was released for Microsoft Windows and Xbox 360 in November 2009, and for OS X in October 2010, and for Linux in July 2013.[1][2] Left 4 Dead 2 builds upon cooperatively focused gameplay and Valve's proprietary Source engine, the same game engine used in the original Left 4 Dead. Set during the aftermath of an apocalyptic pandemic, Left 4 Dead 2focuses on four new Survivors, fighting against hordes of zombies, known as the Infected, who develop severe psychosis and act extremely aggressive. The Survivors must fight their way through five campaigns, interspersed with safe houses that act as checkpoints, with the goal of escape at each campaign's finale. The gameplay is procedurally altered by the ""AI Director 2.0"", which monitors the players' performance and adjusts the scenario to provide a dynamic challenge. Other new features include new types of special infected and an arsenal of melee weapons.[3]"
