UserID,Game,Hours
76767,Counter-Strike,365.0
76767,Call of Duty World at War,271.0
76767,Total War ATTILA,207.0
76767,Call of Duty Modern Warfare 2 - Multiplayer,165.0
76767,Call of Duty Modern Warfare 2,65.0
76767,Counter-Strike Source,25.0
76767,Banished,24.0
76767,Call of Duty Black Ops,22.0
76767,Call of Duty Modern Warfare 3,15.9
76767,Portal 2,15.0
76767,Age of Empires II HD Edition,13.1
76767,Call of Duty Black Ops - Multiplayer,12.5
76767,Call of Duty Modern Warfare 3 - Multiplayer,9.7
76767,Rise of Nations Extended Edition,5.7
76767,Counter-Strike Global Offensive,3.5
76767,Thief Deadly Shadows,3.4
76767,The Stanley Parable,1.8
76767,Half-Life,1.2
76767,Alien Swarm,0.8
76767,Worms Armageddon,0.4
86540,The Elder Scrolls V Skyrim,113.0
86540,Audiosurf,57.0
86540,XCOM Enemy Unknown,37.0
86540,Far Cry 3,17.8
86540,Left 4 Dead 2,16.4
86540,Killer is Dead,5.3
86540,Torchlight II,3.6
86540,The Walking Dead,1.8
86540,Max Payne 3,0.9
86540,Borderlands 2,0.7
86540,Age of Empires II HD Edition,0.7
86540,Serious Sam HD The First Encounter,0.2
86540,Portal,0.2
86540,Tom Clancy's Ghost Recon Advanced Warfighter,0.2
86540,Alan Wake,0.2
229911,Counter-Strike Condition Zero,165.0
229911,Call of Duty Modern Warfare 2 - Multiplayer,109.0
229911,Counter-Strike,45.0
229911,Call of Duty Modern Warfare 2,44.0
229911,Call of Duty Black Ops,8.1
229911,Half-Life 2 Episode Two,5.5
229911,Half-Life 2 Episode One,3.6
229911,Worms Reloaded,3.1
229911,Call of Duty Black Ops - Multiplayer,2.8
229911,Counter-Strike Source,1.5
229911,Half-Life 2,0.6
229911,Half-Life,0.5
229911,Team Fortress 2,0.4
229911,Insurgency Modern Infantry Combat,0.4
229911,Day of Defeat,0.4
229911,Half-Life 2 Lost Coast,0.3
229911,Counter-Strike Condition Zero Deleted Scenes,0.2
229911,Portal,0.1
298950,Team Fortress 2,1019.0
298950,Counter-Strike Global Offensive,544.0
298950,Sid Meier's Civilization V,135.0
298950,The Elder Scrolls V Skyrim,123.0
298950,Far Cry 3,99.0
298950,Fallout New Vegas,92.0
298950,The Witcher 3 Wild Hunt,89.0
298950,Terraria,86.0
298950,Fallout 4,82.0
298950,Borderlands 2,78.0
298950,DARK SOULS II Scholar of the First Sin,74.0
298950,Endless Legend,66.0
298950,METAL GEAR SOLID V THE PHANTOM PAIN,65.0
298950,Divinity Original Sin,65.0
298950,DARK SOULS II,62.0
298950,Pillars of Eternity,52.0
298950,Starbound,50.0
298950,Dark Souls Prepare to Die Edition,49.0
298950,Rocket League,49.0
298950,ARK Survival Evolved,41.0
298950,The Witcher 2 Assassins of Kings Enhanced Edition,40.0
298950,Rust,39.0
298950,STAR WARS Knights of the Old Republic II The Sith Lords,33.0
298950,Tropico 4,29.0
298950,Deus Ex Human Revolution,28.0
298950,Dishonored,27.0
298950,XCOM Enemy Unknown,25.0
298950,Shadowrun Dragonfall - Director's Cut,24.0
298950,Darksiders II,22.0
298950,BioShock Infinite,21.0
298950,Legend of Grimrock,19.3
298950,Dead Island,19.2
298950,Portal 2,17.1
298950,Left 4 Dead 2,16.3
298950,Batman Arkham Origins,15.2
298950,Mortal Kombat X,14.5
298950,Hitman Absolution,14.3
298950,7 Days to Die,14.3
298950,The Walking Dead,13.7
298950,Torchlight II,13.6
298950,Wasteland 2,12.9
298950,Tomb Raider,12.5
298950,RAGE,12.2
298950,LEGO MARVEL Super Heroes,10.8
298950,Shadowrun Returns,10.6
298950,Chivalry Medieval Warfare,10.2
298950,Metro Last Light,9.8
298950,FTL Faster Than Light,9.7
298950,Tom Clancy's Splinter Cell Blacklist,9.6
298950,Torchlight,9.2
298950,Orcs Must Die! 2,9.2
298950,Dying Light,9.0
298950,Metro 2033,8.9
298950,Natural Selection 2,8.5
298950,Warhammer End Times - Vermintide,8.3
298950,Borderlands,8.3
298950,The Wolf Among Us,8.2
298950,Mark of the Ninja,7.9
298950,Saints Row The Third,7.4
298950,Amnesia The Dark Descent,7.0
298950,The Forest,6.9
298950,Sid Meier's Civilization Beyond Earth,6.4
298950,Rogue Legacy,6.4
298950,Garry's Mod,6.2
298950,Killing Floor 2,5.9
298950,Sanctum,5.8
298950,State of Decay,5.5
298950,Dungeons of Dredmor,5.4
298950,Hotline Miami,4.9
298950,Armikrog,4.7
298950,Sonic Generations,4.4
298950,LEGO Batman 2,4.2
298950,Machinarium,3.8
298950,Broken Age,3.7
298950,Unturned,3.5
298950,Serious Sam 3 BFE,3.5
298950,The Cave,3.5
298950,PAYDAY 2,3.4
298950,Max Payne 3,3.4
298950,METAL GEAR SOLID V GROUND ZEROES,3.2
298950,Brothers - A Tale of Two Sons,3.2
298950,Castle Crashers,2.9
298950,Thief,2.9
298950,Don't Starve,2.9
298950,Galactic Civilizations II Ultimate Edition,2.7
298950,Bulletstorm,2.7
298950,Prison Architect,2.4
298950,Mass Effect 2,2.4
298950,Magicka,2.4
298950,DmC Devil May Cry,2.4
298950,Transformers Fall of Cybertron,2.3
298950,Little Inferno,2.3
298950,The Long Dark,2.0
298950,Cities Skylines,2.0
298950,Gone Home,2.0
298950,The Stanley Parable,1.9
298950,Undertale,1.9
298950,Saints Row IV,1.8
298950,ORION Prelude,1.7
298950,Hardland,1.7
298950,Satellite Reign,1.6
298950,Guns of Icarus Online,1.6
298950,Just Cause 2,1.6
298950,Alien Swarm,1.6
298950,Red Faction Guerrilla Steam Edition,1.5
298950,Trine 2,1.4
298950,Monaco,1.3
298950,Age of Empires II HD Edition,1.2
298950,Spec Ops The Line,1.2
298950,NiGHTS into Dreams...,1.2
298950,Divinity Original Sin Enhanced Edition,1.1
298950,Goat Simulator,1.1
298950,Sleeping Dogs,1.1
298950,Crusader Kings II,1.0
298950,Shadowrun Hong Kong,1.0
298950,Kingdoms of Amalur Reckoning,0.9
298950,Left 4 Dead,0.9
298950,Crysis 2 Maximum Edition,0.9
298950,"Sir, You Are Being Hunted",0.9
298950,Dungeon Defenders,0.9
298950,Call of Juarez Gunslinger,0.9
298950,Darkest Dungeon,0.9
298950,Dear Esther,0.9
298950,"Warhammer 40,000 Dawn of War II - Chaos Rising",0.9
298950,Sanctum 2,0.8
298950,Awesomenauts,0.8
298950,"Papers, Please",0.8
298950,Might & Magic Heroes VI,0.8
298950,Surgeon Simulator,0.8
298950,Sonic & All-Stars Racing Transformed,0.7
298950,Alpha Protocol,0.7
298950,Legend of Grimrock 2,0.6
298950,Brtal Legend,0.6
298950,Styx Master of Shadows,0.6
298950,Banished,0.6
298950,Age of Wonders III,0.6
298950,Age of Empires III Complete Collection,0.6
298950,Just Cause 2 Multiplayer Mod,0.6
298950,Counter-Strike,0.5
298950,The Talos Principle,0.5
298950,Savage Lands,0.5
298950,Dota 2,0.5
298950,Counter-Strike Source,0.5
298950,Outlast,0.5
298950,Battlefield Bad Company 2,0.4
298950,The Lord of the Rings War in the North,0.4
298950,Serious Sam HD The Second Encounter,0.4
298950,Gunpoint,0.4
298950,Alan Wake,0.4
298950,Insurgency,0.4
298950,Nexuiz,0.4
298950,The Binding of Isaac,0.4
298950,Wasteland 2 Director's Cut,0.4
298950,"Warhammer 40,000 Dawn of War II",0.4
298950,BattleBlock Theater,0.3
298950,Universe Sandbox,0.3
298950,Driver San Francisco,0.3
298950,DuckTales Remastered,0.3
298950,Fallout,0.3
298950,Nidhogg,0.3
298950,Octodad Dadliest Catch,0.2
298950,Portal,0.2
298950,Euro Truck Simulator 2,0.2
298950,Scribblenauts Unlimited,0.2
298950,Amnesia A Machine for Pigs,0.2
298950,Dragon Age Origins - Ultimate Edition,0.2
298950,PROTOTYPE 2,0.2
298950,Guacamelee! Gold Edition,0.2
298950,The Swapper,0.2
298950,Shadow Warrior,0.2
298950,The Testament of Sherlock Holmes,0.1
298950,Half-Life 2,0.1
298950,The Secret of Monkey Island Special Edition,0.1
298950,Deus Ex Game of the Year Edition,0.1
298950,Cave Story+,0.1
561758,Call of Duty Modern Warfare 3 - Multiplayer,147.0
561758,Call of Duty Black Ops - Multiplayer,76.0
561758,Call of Duty Black Ops II,75.0
561758,Borderlands,59.0
561758,Call of Duty Modern Warfare 2 - Multiplayer,51.0
561758,Eufloria,51.0
561758,Call of Duty Black Ops II - Multiplayer,47.0
561758,RAGE,46.0
561758,Portal 2,33.0
561758,Call of Duty Ghosts - Multiplayer,32.0
561758,Wolfenstein,26.0
561758,Left 4 Dead 2,26.0
561758,Battlefield Bad Company 2,20.0
561758,Call of Duty Modern Warfare 2,17.5
561758,Metro 2033,16.9
561758,Half-Life 2,16.6
561758,Duke Nukem Forever,14.3
561758,Killing Floor,14.3
561758,Sniper Elite V2,14.2
561758,Half-Life 2 Episode Two,13.7
561758,Mass Effect,13.7
561758,Serious Sam HD The First Encounter,12.4
561758,F.E.A.R. 3,12.3
561758,Serious Sam 3 BFE,11.9
561758,Operation Flashpoint Red River,11.5
561758,Portal,10.6
561758,Osmos,10.4
561758,Sniper Ghost Warrior,9.5
